student_id ,age ,GENDER,STUDY_HOURS_PER_DAY,SOCIAL_MEDIA_HOURS,netflix_hours ,PART_TIME_JOB,attendance_percentage ,SLEEP_HOURS,diet_quality ,EXERCISE_FREQUENCY,PARENTAL_EDUCATION_LEVEL,INTERNET_QUALITY,mental_health_rating ,EXTRACURRICULAR_PARTICIPATION,EXAM_SCORE,RANDOM_ID
S1012,23.00990646532071, FEMALE ,ten,0.5036184764667906,1.3779619928402052, Yes ,84.22204694186543,6.821476325366499, Fair ,-0.338499971,Bachelor,Good,15.218070059089962,No,77.83962562011948,2244
S1013,21.42626460965747, FEMALE ,3.4,3.336095819803111,, No ,81.76671180533474,5.837611599110195,,4.582113968690121, Bachelor ,Good,6.513307302292917,No,74.66628363483639,2718
S1014,29.34789989952505,mle,2.4,-0.92625193,0.15548145039672434,No,,,unknown,,Bachelor,Average,, No ,71.70785867086849,3043
S1015,17.668027745712948,mle,,2.9906727941786198,-1.860069899,No,96.72349687995369,4.921671426173684, Good ,-0.659928027,High School,Average,14.16623044020739,No,70.95507603392856,4600
,,mle,1,5.0100538417024225,-1.429135187,No,91.7880465605955,3.726732301374966, Poor ,7.471578780296429,High School,,,Yes,57.869961200889016,3090
S1017,,FEMALE,ten,1.975903933141275,,No,91.17725024415762,, Poor ,-2.844977764,,Average,5.611284180872676,Yes,63.861338462184136,9370
 S1018 ,20.209049401562083,Other,ten,7.30959515403735,2.770165294270055,Yes,89.17993726367348,7.13268002999054, Good ,2.6638530196621164,High School,Good,8.186689756184975,,43.976953982918474,5379
 S1019 ,20.861214362196883,mle,1.8,-1.18645917,-1.03331428,No,69.07287754637717,5.218017583645722,,6.857610919790508,High School,,2.586585044771395, No ,43.48461380108775,3488
S1020,22.92288350980726, female ,3.8,0.7890195164227123,1.3456110439392903,No,78.61961081418607,5.8150144241035875,Good,6.720370843607194, Master , Good ,, No ,58.63461279140007,8961
S1021,17.764851746092248, M ,,3.0730961349860824,,No,98.56681285185307,, Fair ,3.3157212596168124,High School,Good,6.7221818371872235,No,83.38440123990766,5942
 S1022 ,19.31671303527335, Other ,7.883240848122128,-4.972043319,,No,83.0977244402753,4.9,Fair,-3.448463688,High School,Average,1.6868324178280174,No,99.18524425654542,4277
S1023,24.238105597192323, F ,11.027600355697434,2.0107631358744102,1.7647923395029426,Yes,91.82110397881037,,Fair,1.900197501477587,Bachelor,Good,-1.773977192,No,220.56484134958203,8818
S1024,18.103102017352555,FEMALE,ten,-2.289333571,-0.38679745,Yes,88.49771733379896,2.428166066794758,unknown,8.34710704496192,Bachelor, Average ,-0.885683737,No,,2756
S1025,,mle,,3.9243169015961237,4.604513225231505,No,72.12606081856917,12.588352554689173,Fair,-0.027376668,High School,Average,5.3877635857461375,Yes,73.27402421523172,9479
S1026,17.757678675000502,  M  ,ten,,-0.026088061,No,80.37965664316344,2.489870003555824,Good,5.739004820034423,Bachelor, Poor ,1.30903162087949,No,73.92445159672218,6607
,16.53310628545877,male,3.2,4.7557723192554135,-0.268447713,,85.74859320307347,,,9.567546324554915,Bachelor, Average ,2.8434884380724523,,75.09985008938521,6156
 S1028 ,23.467832303322233,  M  ,ten,0.22076020109654126,,Yes,79.10451695560148,,Good,2.6185582562074954,,Poor,2.5669942511642785,,86.37744721285428,3620
 S1029 ,16.009441519179912, F ,11.722091892939128,-1.870200561,5.041564276198349,Yes,80.80174726777234,2,Poor,2.7477500946924183,High School,,,Yes,75.205729344839,7263
S1030,20.397947715786188,female,3.7,3.2054977968961578,,No,81.94859212681288,9.642803489204839,Fair,0.09355605641473153,Master, Average ,7.191582114393896,No,68.77922807369764,7278
 S1031 ,22.193179528961785,Other,1.5,5.956867125080107,-0.373657883, Yes ,93.44701129440908,9.869297192680667,unknown,2.720491427242789,Bachelor, Average ,1.3693118936492892,Yes,41.342188436590014,3156
 S1032 ,11.990702077042178,Other,,3.8967255470912745,5.444156427798346,No,85.56689281271765,9.329502658409037,Good,1.1740331331487561,Bachelor, Good ,10.143373991674824,,,8420
S1033,11.785092257904594,female,4,3.5893305233563857,4.321248902356717,No,,7.723104965569025, Poor ,2.1104628690894467,,Average,8.161980024116543,No,66.50507615182289,8957
 S1034 ,20.39118937554395, femle ,,4.167133740590025,-2.644513788,No,98.57482910533528,,Fair,-0.245079541,,Good,,,46.01855118833506,1791
,22.507450869627096, FEMALE ,4.2,5.644100978799237,2.2587381912959383, Yes ,88.11762203386425,10.714758264870255, Good ,-0.132101549,Bachelor,Average,-0.09193265,No,76.12387508768006,3431
 S1036 ,,femle,3.5,11.308989008698182,0.381545581678163, No ,73.67424932471063,3.1590006001087385, Fair ,2.194116991529484, High School ,Good,6.005685402802705, No ,67.19381665289174,8932
S1037,,male,ten,4.729332263424229,0.36540779207849755, Yes ,70.13797923825189,-2.596266606,Good,-2.874849415,High School,Average,1.2716129138546357,No,,1617
 S1038 ,13.178149145650199, MALE ,3.8,8.424851898431426,0.16214158844283277, No ,69.02889075532232,9.134781413657949, Poor ,-2.392116174,, Good ,4.334174340487946, No ,,5863
S1039,16.38105693641052,MALE,ten,4.619911511160166,,No,68.66576282373715,7.051691757361406,unknown,0.21355838783311243, High School ,Average,3.131576715047532,,81.48650847133636,8273
S1040,,female,,10.630423615696502,-2.899003273,No,97.02687302295197,9.391981623707386,unknown,10.632409514588563,Bachelor,Good,-1.78708362,No,,8930
 S1041 ,, femle ,2.9,0.6269324838669443,-2.076860312,No,87.92565678316457,8.647362695194566, Good ,3.6648750330110063,Bachelor,,1.9518280630306748,,59.046116524811566,5562
 S1042 ,,male,3.7,1.2546058655821155,2.917690596704536,No,88.78184742088168,6.778929769827124,Fair,2.6198867763269424,High School,Poor,5.322320717344688,Yes,61.81193214895344,7690
S1043,21.181970954526733,FEMALE,ten,3.587428158222622,-4.183334086,,57.282315170124726,11.199107280594074,Poor,-1.694266464, Bachelor , Good ,-0.23763314,No,67.08110575526891,1801
S1044,24.493172285362263, FEMALE ,3.6,4.944267992419634,-0.746991064,No,70.90442661671774,5.892484077247733,Good,4.560398468526349, High School ,Poor,12.280876445452108, No ,75.710907176188,4476
 S1045 ,14.267574736437082, male ,3.6,6.048065580964185,4.85160998965253,No,92.44213703564338,8.997546036742746,Fair,0.13699499186782083,Bachelor, Average ,9.882360461671507,Yes,,3874
S1046,28.664921029162887,MALE,ten,5.238125581561087,-1.297338734,No,84.86753789846915,10.891870687794334,Poor,8.648983527923324,High School, Average ,13.613034900278723,Yes,73.05881820151562,7719
S1047,22.24702181302721,,2.5,4.798684203701853,,No,80.39185874804146,,Good,2.7066114796008525,,Good,7.981449660799579,Yes,62.253873795005106,9024
S1048,22.986647019793892,femle,1.4,0.98718844707431,5.2250756671325655,No,92.79243952778691,7.039357745385301,Fair,4.261954717467569,Bachelor,Good,5.65324194225602, No ,51.79820373734849,1267
S1049,,  F  ,6.1,,-0.729593579,No,101.10857444113059,4.303685431880799,unknown,9.195705248445556,High School,Average,1.7589213918520448,No,93.31359538376155,2422
S1050,19.832267715165546, F ,,,4.849486926277805,No,81.21871679861414,7.675614425560374, Fair ,6.330315195898672,Master,Good,8.210781596810817,,63.17010182280186,4161
 S1051 ,22.895218291979127,,2.5,3.8060309426699397,6.059627478845319, No ,87.36450445737252,-4.850016092, Poor ,-2.534539829,High School,Average,-1.829828736, No ,61.59123989559143,4309
S1052,19.55637844784971, F ,2.4,4.045549257059324,2.7816791576921993,No,83.52567298573301,7.90047029875408, Fair ,4.3066775118689335,High School, Average ,0.3134348812338359,No,55.099965122615544,1702
S1053,17.9841231027464,,4.8,1.808373970572408,4.385311203871808,No,103.35350360386933,6.191892440802637,unknown,0.6803281137710535,Bachelor,Good,6.69014746322828,Yes,70.79918098465022,3524
 S1054 ,22.887492501596057, F ,3.1,4.750201194781656,4.234453501321587,Yes,62.89891131461519,8.123914597732114,Fair,1.046398186597902,High School,Good,,No,68.98814752331855,3594
S1055,21.97504350803463,mle,5.4,-1.998902203,1.608628503620671,,93.07072623369963,5.2430678901126715,Good,0.9483476172028815,High School,Good,11.439128976078923,No,83.61095032508304,4420
 S1056 ,,mle,2.5,4.9036911911299175,-0.584400486, No ,87.61295607007528,4.189052659467007,Good,7.151303173932979,Bachelor,Average,9.384298675805265,No,333.5679873878351,1084
 S1057 ,11.44647941099393,mle,3.9,4.858125062470874,2.6569354104942606, No ,91.31688583240987,6.377760092219859, Good ,-3.978725467,Bachelor, Average ,6.049294501604063,Yes,74.06229970603802,5341
S1058,17.488779823533047,femle,,6.9905587072418065,1.1066363878345733,No,83.63168782227645,1.2888481221151293,Poor,4.952497484802743,Master, Average ,2.349187444542502, Yes ,47.611251996608424,2990
S1059,22.422832919753954,FEMALE,6.7,-2.152758537,3.069115887477227,No,76.85987210445901,-5.150552725,unknown,4.673817299699153,Master,Average,9.922706147999394,Yes,,1234
S1060,,,6.298391567786557,0.14062089551769796,4.936596286251195,Yes,91.2558542387768,ten,Fair,5.030803056436088,,Average,,No,63.433432674312016,8305
S1061,22.62484136627058, MALE ,,-2.496315828,2.6834969584888513, No ,100.6271677780698,5.3120713532936605, Fair ,12.39052907343387, Bachelor ,,4.982895428883755,No,76.78305337687496,9699
S1062,22.47339453201757,male,4.5,4.668456697025043,2.8865326874032924, Yes ,89.35137819037567,7.7925155027249895,Good,5.170768943512825,High School,Good,16.39690732099929,No,90.19482783304068,9919
S1063,16.06106926000683,male,4.1,0.953567915951542,1.2465122672652766, Yes ,79.2764496096901,5.14595857390558, Fair ,3.518292416059288,Bachelor,Average,14.156973020327493, No ,73.36207358808144,3673
 S1064 ,24.345759698582395,male,ten,,5.2327881420370606,No,83.98148654740638,4.12561881700743,Good,6.309736181780115,High School,Poor,6.052132131838206,Yes,,8928
S1065,18.815152947512438, F ,5.707142871057859,3.2170352492803342,0.45399501227816697, No ,80.27564584711429,, Poor ,0.4191539129646211,Master,Good,13.129797618264133,No,347.7363769093759,3095
,22.657377499052735, M ,,1.008642959179622,1.2460858968063748,,69.1699373586679,3.426259238751641,Good,3.0273696051708634,,Average,8.982837816164194,No,,7332
S1067,19.846804726698757,,3.3,2.410015672827857,0.4255898436242278, No ,80.41031276493689,4.556925775511286,Poor,-1.963694041,Master,Good,6.986171427091811,No,,3444
 S1068 ,20.475007088822203,,4.9,2.3677863348078523,5.78725483417336,Yes,93.23931116177776,5.538103658827161, Good ,1.2378407693863278,Bachelor,Poor,7.386112533019743,No,84.63825808917102,7033
S1069,24.90227059852418,mle,10.631137373267478,1.878087841575358,0.93995036614737,No,78.7030498509602,,Poor,3.265789661717532,Master,Average,3.348616486489753,No,103.55622369873062,4539
S1070,14.633352140987418,female,2.7,4.293945198758311,-2.582752818,No,99.05081396474276,6.742467344471001,Poor,4.234860058592883, Bachelor , Good ,1.3796530990982343,,64.1892347930353,3253
 S1071 ,23.177289872404657,female,1.4,3.7602570366439654,,No,90.89229732434119,3.6654402980011676, Fair ,3.07431866728393,High School, Poor ,,Yes,56.39318560039219,8703
 S1072 ,19.241574374966294,MALE,3.4,0.2008141922224514,2.4495694260177054,,78.03391612521996,7.333424761880046,Fair,0.20062784818634727, High School ,Average,5.1349051912874,Yes,80.09267402596753,5756
S1073,16.82656373135805,female,7.4,7.246369872828998,3.3639256337841115, No ,81.16021557788201,-1.700484239, Fair ,2.297570516213394, High School , Average ,7.5169429998724775,Yes,486.11501890306005,7522
S1074,20.442767987228848,  F  ,ten,3.734453198820551,5.5631628130629585,No,104.54347756814474,4.546033172021814,Fair,4.228234886557421,,Good,-3.152152494,No,65.70330825411509,8423
S1075,19.514759106663448, F ,6,0.45614826049394175,-4.547301199,Yes,,6.1543925664527634, Fair ,2.797226284854624,, Good ,9.458280605336304,Yes,,2040
 S1076 ,,mle,6,,0.16737077760835062,No,86.04891048736195,, Poor ,7.237653654650568,, Average ,9.812918820587186, Yes ,100.03657147522159,8840
S1077,20.841953474327703,FEMALE,2.7,1.4564410259872504,,No,83.10193870269148,5.2124330559355885,unknown,1.672513419654623, Bachelor ,Poor,,No,63.138472262388206,1633
S1078,24.843722708155966, FEMALE ,4.4,2.8739310687148416,2.9319521576989955,Yes,86.63835135145183,13.112376848828188,,6.96264018053128, Master ,Good,6.3797842642872125,No,76.27463446575467,6985
 S1079 ,13.084852599020751, mle ,8.621347312724959,4.0556885791245305,0.38491197974575764,Yes,81.15527725851544,ten, Good ,2.3915062534192932,,Average,7.013620907245635, No ,,1002
S1080,22.178765773276318,mle,2.9,1.224334067759958,-0.78546086,No,62.84509225772074,8.913389219761708, Good ,4.659074416238052,High School,,9.274150874411749,No,,5430
S1081,24.123284170504867, Other ,3.2,6.295408813743224,9.685978484664727,No,97.64582694831793,11.002306198593896,unknown,2.7820950016648314, High School , Poor ,4.639197190018247,No,56.10875697376059,8160
 S1082 ,22.603218323269207,femle,,5.019101525017836,0.5644996656514125,Yes,86.27022999431999,4.219031905682658, Fair ,0.800733294146502,, Poor ,,No,63.24724899837128,9842
S1083,25.863119868918837, male ,2,,,No,93.74864809328997,0.09218094468633797,Poor,,,Good,,Yes,55.988759190021256,3167
S1084,20.573278147092896, FEMALE ,,3.347164897070413,5.518576929561939,,83.79215650428858,3.6569265532984376,Fair,7.851723944454768,Bachelor, Average ,2.7810890715325516,No,,1835
S1085,,mle,1.7,1.5457789662958383,5.792428546305205,,78.68274907610461,7.349550015467419,Good,6.7036348371674, Bachelor , Good ,10.521097750109139,No,54.11497513516424,5885
,20.232594064736542,MALE,3.6,0.3639181942195968,4.2390816748036535, No ,82.23052014436848,7.354944903627194,Good,7.156574942619589,Bachelor,Poor,8.910358600704296,No,76.16806314552932,9968
S1087,18.046825670983623,male,,1.8543836444992672,5.867451366596001,No,69.36204316729444,7.940576645287846,Fair,-2.749245693,Master, Average ,-0.575945583,Yes,46.846619306177594,9684
S1088,19.21132529588006,MALE,,3.8866145841351174,0.9993039394470049,,103.91767162354652,1.8745200812247491,,7.948732355278212,Bachelor,Good,0.3225499915876364, No ,70.31703252569677,9762
,,mle,,1.4462063406883132,0.5257833015524751,No,67.0283892424647,3.068162277636861, Poor ,4.978173333125827,High School,Average,2.6659418640417707,Yes,38.94986499225492,5078
S1090,25.580908290634568,mle,4,,4.321179490250758,No,75.25568547120592,8.63183207413227,unknown,10.617589141379197,Bachelor, Good ,-1.895613515,,81.66988522691074,6024
S1091,19.292436988743628,female,,10.117683449272901,3.711129780478231,No,78.01767264311201,6.312842974988752,unknown,-0.29771904,High School,Average,2.431365176030049,No,62.248603085356926,7377
 S1092 ,15.173185864697036, male ,0.5,2.079982463363223,2.3243485284888163, Yes ,94.43072588233204,3.650099136554605,Poor,,High School,Good,-2.50659274, No ,45.031178198190865,7878
 S1093 ,19.14720760959474, male ,4.1,1.5084664046573624,1.744288501690189,No,84.40004417710998,4.502233099049423,Good,-0.00904264,,Good,9.925224628802395,No,71.03421595470692,1710
 S1094 ,21.877130294810065, female ,5.3,2.3506690719276238,3.2371676085357723, No ,75.8248529242428,9.28835946569626,Fair,-3.743689023,High School, Average ,9.443824280531283,No,,5793
,24.440307289664382,mle,1.7,4.828449019719493,4.0227208842051,No,97.07601369343668,8.817313331956306, Good ,2.6182987766017485,High School,Good,7.433123523908898,No,52.89842823148246,9347
S1096,15.714215515332084,femle,6,2.4869740438875847,2.0373122155901706, No ,,3.330558313420905,unknown,1.93518507261837, High School ,,1.2595237699081725,No,85.0910500305381,7893
S1097,21.642654210265935, M ,4.1,1.6666493425393298,8.107630113888053,No,89.55173681997371,6.97599449243108, Good ,, Bachelor ,Average,5.861306019805475, No ,79.61500663015524,9073
S1098,17.408822317333076, M ,2.4,1.934706388350973,3.8258170060486076,No,85.30451182860536,7.759371256056496,unknown,3.0651077178645716,Bachelor,Good,6.15278442781397, Yes ,58.460450205697555,3540
 S1099 ,22.009622111028307,MALE,3.4,6.214464889334346,-1.923575398,No,98.72305074460779,2.704174726798411,Good,-0.887964922,High School,Good,9.747760245299723,No,69.51484549504009,9660
S1100,22.12575097909945, male ,4.3,5.574044675576156,4.967785460448052,No,100.94167426825925,5.399841753020961,Good,3.4323620357162254,,Average,, Yes ,,3401
S1101,20.470972068418035,male,3.6,2.5445831545270807,3.787362425473194, No ,76.67188694754441,7.216054632496775,unknown,6.13088858143279,,Average,3.7791979100385813,No,72.20844743834017,3197
 S1102 ,18.99299461594375,male,4.3,3.616074213154887,-0.3629413,No,99.77745882329651,5.684542937179774,Fair,3.4284242420360527,, Average ,2.7076064755622546,,61.891693559671886,3521
S1103,20.517814785253332, M ,,1.8195989296239468,3.454637161402056,No,83.89071562378517,9.453598599818475, Good ,4.075954905442774,Master,Average,2.470106545136359,No,50.96484688321688,8431
S1104,22.66286937506069,mle,3.8,,7.634527149777836,No,86.72147942029035,12.15611524025556, Good ,2.6124485083014624,, Good ,8.775295790814496, No ,72.81650236166581,2838
S1105,20.69375944324433,,6.024886900453964,-8.078217636,7.325165371396175,Yes,70.32525768807558,ten, Good ,5.361609437092344,High School,Average,0.9001279939296327,Yes,27.958858417135612,9457
S1106,25.82357924225417,male,3.3,-1.638491159,, No ,79.47699460651661,9.169210919136901,unknown,0.3383684513412213,High School,Good,5.285138368293725,Yes,82.76121478699957,6155
,19.896918532477027,  M  ,2.1,-0.366960571,-2.243826288,No,73.24287874292045,6.486156258143869, Fair ,1.4668697051020665,,Average,11.293208809539827,No,60.14058547448635,9696
 S1108 ,19.587865402882787,,2.4,,1.6352262579615853,No,93.63577980636748,10.91936512007164, Poor ,6.458617190414033,High School,Average,2.740702619777256,Yes,,4745
 S1109 ,19.482303937719678,  F  ,ten,,2.978802736028946,No,102.75021941868236,3.8102766673443975,unknown,0.5898236401348778, High School , Good ,-0.494829144,No,,9845
,25.55330664681473,mle,5.1,9.52208643554154,4.584340449020901,No,62.67498490336305,1.8839886468243208,Fair,6.404181759724362,,Average,9.193653057028962,,84.42684098539137,6836
 S1111 ,20.292430115013076, F ,ten,3.1979128267630585,-1.219042446, No ,,-7.350600587,unknown,3.0879255933578516,High School,Average,7.889366011823058,No,79.08765931071326,5287
S1112,31.463841445566707, F ,4.474972426161429,1.490352695556043,1.9281724316195883,No,93.4710170311805,, Fair ,2.5464059415478735,Bachelor,Poor,,Yes,44.00370416742818,5763
S1113,29.95989766989159, M ,3,0.5937979781520193,-0.59265966,No,83.18957696117194,0.7741183546165109,Fair,3.3207216827266564,Bachelor,Average,5.214553076100894, No ,53.62032444720267,7734
,26.19546941271566, F ,,,3.840290144012214, No ,93.01189083743562,6.076343948043508,Fair,2.9459582113677536,,,1.1221640249140195,,84.69723715742353,1417
 S1115 ,17.655435109296956, female ,3.7,-3.371130395,5.735851822787676,No,88.81364524142509,12.19699500424726,Poor,6.220274088455428,,Good,12.358742866742402,,82.66523069409602,7115
S1116,16.03967672151913, MALE ,ten,,0.043519362529322425,,87.84960481680703,4.168340498684147, Good ,2.0352544473619503,, Average ,6.16380816841458, Yes ,98.62987404549693,1215
S1117,20.973054469930645,  M  ,4.1,-0.923504815,2.1604810314259817, No ,83.62894733071988,3.3725091327257006,Good,3.112842314493288,, Good ,6.468766213384038,No,83.9053097034634,1217
S1118,22.76291027776867,  F  ,3.8,7.024021590249084,1.0200333464305102,No,71.63843302099805,3.1104590759593798, Poor ,3.2930669265680854,Bachelor, Good ,2.729170182206626,Yes,55.909118826560935,7035
S1119,21.82872088672627,  F  ,3,6.138889100753026,-1.725061862,Yes,72.14668461469248,9.827262207920903,Fair,,High School,Average,1.045324640668726,No,,2870
S1120,23.41034609346244, mle ,3.7,5.388710693669939,-1.082652717,No,88.04014851164906,, Fair ,10.506451899849925,Bachelor,Average,8.882012027655975,,,6751
S1121,18.25832752040311,male,3.3,1.2754907855664588,4.2868184442439485, No ,82.25350039358577,8.596089873095497,Poor,1.538260600749748,,Good,7.9453885590991185, No ,,9601
,21.627284019354352,mle,4.6,-3.969741366,4.203133781544767, No ,,8.821332473233847,unknown,5.874074390402146,High School,Good,-1.047371209, No ,83.74581812522561,2516
,23.592468510073317, femle ,,2.097261673289199,2.0455910354814146,No,85.28107578003437,11.501727393283147,,-0.879149846,Bachelor,Average,6.273844296164711,No,79.07884336019526,7231
S1124,20.157663765227724, F ,ten,5.151862976854954,2.6655117011121003,No,,10.270505046634913, Fair ,2.655691515308048,Bachelor,Average,7.466050554474484, No ,64.78180958698357,3598
S1125,22.828136000189215,MALE,1.5,0.19246148597179547,5.3894202277216205, No ,95.38851277969302,-6.018855053,Fair,-0.399205315,High School,Average,6.785738538780858, No ,41.03321842884757,3377
 S1126 ,22.521443768130904,,0.7,5.502976610219752,,Yes,,5.857080793499561,Poor,5.083827647043271,High School, Poor ,7.556078543627683,No,43.68126273837298,9757
S1127,, F ,4.3,,1.9477398016463854,No,75.27354771253019,,Good,3.1657007029470727,Bachelor, Good ,9.276231179211448,No,85.55747963479656,5047
S1128,18.437993484023096,male,1.8,2.698266227166319,0.7646800824065987,,93.98178295580989,4.737432028342883,Good,3.8938586194250133,High School, Good ,8.740845362228505, No ,46.00752938365244,7970
 S1129 ,18.912520464735636,male,,1.688313476852342,,No,78.68874816800258,3.4618112872887514,Good,3.1425313062726383, High School ,Average,9.945673571075773,Yes,23.56802178846826,8677
 S1130 ,, F ,4.1,,6.440448089538796,No,81.89510428975282,7.729295976751848,unknown,4.053932284576788,Bachelor,Good,8.463345678636022,No,83.95202951918347,2299
S1131,20.106260980204222,femle,7.2,5.547042981295459,-4.913782126,No,100.66306733120139,7.539760437921038,,7.397325895602706, High School ,Good,6.543755582087081,No,95.25072075927702,5072
S1132,17.71279574977177, female ,3.5,3.0398285541015597,0.9548876854772392, Yes ,87.47799259049032,,,5.313097112732905,Bachelor,Average,4.350256592839826,Yes,71.36725719733352,5789
,17.33840552185857,,ten,,3.2985994220517103,No,88.01917595978672,8.501098397479407, Fair ,5.140524380782891,Bachelor,Poor,5.559728327403471,Yes,392.02765922620944,2768
 S1134 ,23.239464859292802, MALE ,3.6,2.7449841989731194,-2.321062899, No ,70.355562645919,6.507952108434911, Fair ,2.430917391592959,Bachelor,Good,5.040140421926717, No ,,6909
 S1135 ,25.060669962004766, M ,3.4,1.1399385502109876,-0.113869307, No ,84.1041815488651,4.735086799603503,Fair,-1.385806264,Bachelor,Good,6.224226050897757,,75.90161500762603,7780
S1136,18.346204761771975, F ,4.9,4.977195361269846,4.20894232606733,No,91.48077221036776,8.731938787368993, Good ,-1.854490212,Bachelor, Good ,0.8869685260505742,No,67.48453387197817,2566
S1137,,,,1.056758118451583,-4.395244078,No,68.85013096146412,1.4119065118116465,Good,5.441727864941122,Bachelor,Poor,4.750895979855074, No ,64.85416070355501,2449
S1138,21.512791020353628,male,3.9,3.130588985970249,0.04980815557178103, No ,90.14196165533613,9.329186401241639, Fair ,4.1543300889887345,Master,Average,3.8651138069621918, No ,314.88958504401893,4418
,16.50896205712661,mle,ten,-0.152102272,4.750528701254767,,86.9522924788645,5.204557389562547, Good ,0.580885973286259,High School,Poor,7.442002314516664, No ,78.87384798300111,6147
S1140,27.3041259561257,MALE,2.5,0.9685574179479515,1.464668340369327,No,84.69803125838847,5.145288888787011,Good,6.5081256793881215, High School ,Good,10.213017809278801, No ,66.83031959175555,8590
S1141,20.6511032053003,  M  ,5,-0.70709174,,No,,3.4090674085730015,Good,5.483608829073379, Bachelor ,Good,6.711845063324408,No,94.9367959002749,9340
S1142,22.76257018406719, M ,,4.152951441084021,, No ,91.63088460427863,7.20067638908519,Fair,9.85985761244495, Bachelor ,Poor,5.29707214801689,,68.91396916990243,6108
,25.965202882455586,MALE,2.4,4.642720513119736,4.83310117351868,No,99.48459119609592,6.491368238400145,Fair,,, Good ,1.1789141318942955,No,61.21197841415288,7095
 S1144 ,26.222931609991868,male,,3.6903976152579268,2.7370471885109087, No ,,4.161510337039862,Fair,7.315843504765066,Master,Good,6.438988441462348,Yes,,9008
 S1145 ,20.73449933833063,female,ten,9.004437302460392,, No ,88.51636359139209,6.515795505565185, Good ,,, Good ,10.479034852542599,No,41.702625150720934,5720
S1146,17.251419532181238,FEMALE,-11.74538782,3.846473651916916,,No,84.71417892151433,3.5,Poor,2.9585607099614686, Bachelor ,Good,5.01093356313424,No,77.73926823762287,2703
 S1147 ,17.69398378608136,female,,6.612223870170132,0.7539636221010846,No,72.69847405038415,0.4411489077082109,Fair,4.847266135072724,Bachelor, Poor ,5.159606912856309,,76.09216554910901,8612
 S1148 ,14.610367064071085, F ,ten,5.578384927956364,1.0724534494314257, No ,93.86012435455672,7.04974288036326,Fair,0.3220099243401462,Master, Good ,5.514380886597032,No,81.34192406300154,6698
,16.304460267310734,,4.2,11.92625817422507,3.726630540983595, Yes ,101.34930777765162,4.026111860187683,Fair,,,Poor,9.11872955530412,No,,4239
 S1150 ,17.657068543876797,mle,3.5,1.2044993414713954,-3.70371286,Yes,87.7049998584976,0.6058271035883518,Good,-5.679543738,, Average ,3.4958965335844963, No ,59.95891824166376,9146
S1151,20.350847188574402,female,,6.153873483879304,0.1144653714086954,No,,5.4438070207103, Good ,,High School, Good ,,No,72.56881222520929,8053
S1152,14.88467399257161, F ,5.6,6.489406764994078,0.2504460856359847,No,,3.5372055230238875, Good ,,High School,Good,4.805149080570738,No,96.07729933187788,7665
